station1,station2,id1,id2,order
Sloane Square,Sloane Square (rde),203,203.1,265
Sloane Square (rde),Victoria (rde),203.1,244.1,264
Victoria (rde),Victoria,244.1,244,263
Victoria,Victoria (vs),244,244.4,262
Victoria (vs),Pimlico (vs),244.4,180.2,261
Pimlico (vs),Vauxhall (vs),180.2,243.2,260
Vauxhall (vs),Stockwell (vs),243.2,221.4,259
Stockwell (vs),Brixton (vs),221.4,31.2,258
Brixton (vs),Brixton,31.2,31,257
Brixton,Brixton (vn),31,31.1,256
Brixton (vn),Stockwell (vn),31.1,221.3,255
Stockwell (vn),Stockwell,221.3,221,254
Stockwell,Stockwell (nn),221,221.1,253
Stockwell (nn),Oval (nn),221.1,172.1,252
Oval (nn),Kennington (nn),172.1,122.1,251
Kennington (nn),Kennington,122.1,122,250
Kennington,Kennington (ns),122,122.2,249
Kennington (ns),Nine Elms (ns),122.2,157.2,248
Nine Elms (ns),Battersea Power Station (ns),157.2,17.2,247
Battersea Power Station (ns),Battersea Power Station,17.2,17,246
Battersea Power Station,Battersea Power Station (nn),17,17.1,245
Battersea Power Station (nn),Nine Elms (nn),17.1,157.1,244
Nine Elms (nn),Kennington (nn),157.1,122.1,243
Kennington (nn),Kennington,122.1,122,242
Kennington,Kennington (ns),122,122.2,241
Kennington (ns),Oval (ns),122.2,172.2,240
Oval (ns),Stockwell (ns),172.2,221.2,239
Stockwell (ns),Clapham North (ns),221.2,51.2,238
Clapham North (ns),Clapham Common (ns),51.2,50.2,237
Clapham Common (ns),Clapham South (ns),50.2,52.2,236
Clapham South (ns),Balham (ns),52.2,11.2,235
Balham (ns),Tooting Bec (ns),11.2,229.2,234
Tooting Bec (ns),Tooting Broadway (ns),229.2,230.2,233
Tooting Broadway (ns),Colliers Wood (ns),230.2,55.2,232
Colliers Wood (ns),South Wimbledon (ns),55.2,210.2,231
South Wimbledon (ns),Morden (ns),210.2,153.2,230
Morden (ns),Morden,153.2,153,229
Morden,Wimbledon,153,267,228
Wimbledon,Wimbledon (de),267,267.1,227
Wimbledon (de),Wimbledon Park (de),267.1,268.1,226
Wimbledon Park (de),Southfields (de),268.1,212.1,225
Southfields (de),East Putney (de),212.1,68.1,224
East Putney (de),Putney Bridge (de),68.1,184.1,223
Putney Bridge (de),Parsons Green (de),184.1,177.1,222
Parsons Green (de),Fulham Broadway (de),177.1,84.1,221
Fulham Broadway (de),West Brompton (de),84.1,254.1,220
West Brompton (de),Earls Court (de),254.1,64.1,219
Earls Court (de),Earls Court,64.1,64,218
Earls Court,Earls Court (dw),64,64.2,217
Earls Court (dw),Kensington (Olympia) (dw),64.2,124.2,216
Kensington (Olympia) (dw),Kensington (Olympia),124.2,124,215
Kensington (Olympia),Shepherds Bush,124,201,214
Shepherds Bush,Shepherds Bush (cw),201,201.2,213
Shepherds Bush (cw),White City (cw),201.2,263.2,212
White City (cw),White City,263.2,263,211
White City,White City (ce),263,263.1,210
White City (ce),Shepherds Bush (ce),263.1,201.1,209
Shepherds Bush (ce),Holland Park (ce),201.1,114.1,208
Holland Park (ce),Notting Hill Gate (ce),114.1,168.1,207
Notting Hill Gate (ce),Queensway (ce),168.1,187.1,206
Queensway (ce),Lancaster Gate (ce),187.1,135.1,205
Lancaster Gate (ce),Marble Arch (ce),135.1,146.1,204
Marble Arch (ce),Bond Street (ce),146.1,25.1,203
Bond Street (ce),Oxford Circus (ce),25.1,173.3,202
Oxford Circus (ce),Tottenham Court Road (ce),173.3,231.1,201
Tottenham Court Road (ce),Holborn (ce),231.1,113.1,200
Holborn (ce),Chancery Lane (ce),113.1,44.1,199
Chancery Lane (ce),St Pauls (ce),44.1,217.1,198
St Pauls (ce),Bank (ce),217.1,12.1,197
Bank (ce),Liverpool Street (ce),12.1,140.1,196
Liverpool Street (ce),Bethnal Green (ce),140.1,22.1,195
Bethnal Green (ce),Mile End (ce),22.1,148.1,194
Mile End (ce),Stratford (ce),148.1,223.1,193
Stratford (ce),Leyton (ce),223.1,138.1,192
Leyton (ce),Leytonstone (ce),138.1,139.1,191
Leytonstone (ce),Wanstead (ce),139.1,246.1,190
Wanstead (ce),Redbridge (ce),246.1,190.1,189
Redbridge (ce),Gants Hill (ce),190.1,85.1,188
Gants Hill (ce),Newbury Park (ce),85.1,156.1,187
Newbury Park (ce),Barkingside (ce),156.1,15.1,186
Barkingside (ce),Fairlop (ce),15.1,79.1,185
Fairlop (ce),Hainault (ce),79.1,95.1,184
Hainault (ce),Grange Hill (ce),95.1,90.1,183
Grange Hill (ce),Chigwell (ce),90.1,47.1,182
Chigwell (ce),Roding Valley (ce),47.1,194.1,181
Roding Valley (ce),Woodford (ce2),194.1,271.2,180
Woodford (ce2),Woodford,271.2,271,179
Woodford,Woodford (ce1),271,271.1,178
Woodford (ce1),Buckhurst Hill (ce),271.1,33.1,177
Buckhurst Hill (ce),Loughton (ce),33.1,142.1,176
Loughton (ce),Debden (ce),142.1,60.1,175
Debden (ce),Theydon Bois (ce),60.1,228.1,174
Theydon Bois (ce),Epping (ce),228.1,76.1,173
Epping (ce),Epping,76.1,76,172
Epping,Epping (cw),76,76.2,171
Epping (cw),Theydon Bois (cw),76.2,228.2,170
Theydon Bois (cw),Debden (cw),228.2,60.2,169
Debden (cw),Loughton (cw),60.2,142.2,168
Loughton (cw),Buckhurst Hill (cw),142.2,33.2,167
Buckhurst Hill (cw),Woodford (cw1),33.2,271.3,166
Woodford (cw1),South Woodford (cw),271.3,211.2,165
South Woodford (cw),Snaresbrook (cw),211.2,204.2,164
Snaresbrook (cw),Snaresbrook,204.2,204,163
Snaresbrook,Walthamstow Central,204,245,162
Walthamstow Central,Walthamstow Central (vs),245,245.2,161
Walthamstow Central (vs),Blackhorse Road (vs),245.2,24.2,160
Blackhorse Road (vs),Tottenham Hale (vs),24.2,232.2,159
Tottenham Hale (vs),Seven Sisters (vs),232.2,200.2,158
Seven Sisters (vs),Finsbury Park (vs),200.2,83.4,157
Finsbury Park (vs),Highbury & Islington (vs),83.4,110.1,156
Highbury & Islington (vs),Kings Cross St Pancras (vs),110.1,130.8,155
Kings Cross St Pancras (vs),Euston (vs),130.8,77.6,154
Euston (vs),Warren Street (vs),77.6,247.4,153
Warren Street (vs),Warren Street,247.4,247,152
Warren Street,Warren Street (ns),247,247.2,151
Warren Street (ns),Goodge Street (ns),247.2,89.2,150
Goodge Street (ns),Goodge Street,89.2,89,149
Goodge Street,Goodge Street (nn),89,89.1,148
Goodge Street (nn),Warren Street (nn),89.1,247.1,147
Warren Street (nn),Euston (nn2),247.1,77.2,146
Euston (nn2),Mornington Crescent (nn),77.2,154.1,145
Mornington Crescent (nn),Camden Town (nn),154.1,36.1,144
Camden Town (nn),Chalk Farm (nn),36.1,43.1,143
Chalk Farm (nn),Belsize Park (nn),43.1,20.1,142
Belsize Park (nn),Hampstead (nn),20.1,98.1,141
Hampstead (nn),Golders Green (nn),98.1,87.1,140
Golders Green (nn),Brent Cross (nn),87.1,30.1,139
Brent Cross (nn),Hendon Central (nn),30.1,107.1,138
Hendon Central (nn),Colindale (nn),107.1,54.1,137
Colindale (nn),Burnt Oak (nn),54.1,34.1,136
Burnt Oak (nn),Edgware (nn),34.1,70.1,135
Edgware (nn),Edgware,70.1,70,134
Edgware,Canons Park,70,41,133
Canons Park,Canons Park (jw),41,41.2,132
Canons Park (jw),Stanmore (jw),41.2,219.2,131
Stanmore (jw),Stanmore,219.2,219,130
Stanmore,Stanmore (je),219,219.1,129
Stanmore (je),Canons Park (je),219.1,41.1,128
Canons Park (je),Queensbury (je),41.1,186.1,127
Queensbury (je),Kingsbury (je),186.1,131.1,126
Kingsbury (je),Wembley Park (je),131.1,252.1,125
Wembley Park (je),Neasden (je),252.1,155.1,124
Neasden (je),Dollis Hill (je),155.1,61.1,123
Dollis Hill (je),Willesden Green (je),61.1,265.1,122
Willesden Green (je),Kilburn (je),265.1,128.1,121
Kilburn (je),West Hampstead (je),128.1,257.1,120
West Hampstead (je),Finchley Road (je),257.1,82.1,119
Finchley Road (je),Swiss Cottage (je),82.1,226.1,118
Swiss Cottage (je),St Johns Wood (je),226.1,216.1,117
St Johns Wood (je),Baker Street (je),216.1,10.3,116
Baker Street (je),Baker Street,10.3,10,115
Baker Street,Baker Street (rhe),10,10.7,114
Baker Street (rhe),Great Portland Street (rhme),10.7,91.1,113
Great Portland Street (rhme),Euston Square (rhme),91.1,78.1,112
Euston Square (rhme),Kings Cross St Pancras (rhme),78.1,130.5,111
Kings Cross St Pancras (rhme),Farringdon (rhme),130.5,80.1,110
Farringdon (rhme),Barbican (rhme),80.1,13.1,109
Barbican (rhme),Moorgate (rhme),13.1,152.3,108
Moorgate (rhme),Moorgate,152.3,152,107
Moorgate,Moorgate (nn),152,152.1,106
Moorgate (nn),Old Street (nn),152.1,170.1,105
Old Street (nn),Angel (nn),170.1,6.1,104
Angel (nn),Kings Cross St Pancras (nn),6.1,130.1,103
Kings Cross St Pancras (nn),Euston (nn1),130.1,77.1,102
Euston (nn1),Camden Town (nn),77.1,36.1,101
Camden Town (nn),Kentish Town (nn),36.1,125.1,100
