station1,station2,time,dist,line,flag,id1,id2,direction1,direction2,id0,station1_count,2d
South Kensington (rde),Sloane Square (rde),120,1220,"r,d",t,207.3,203.1,e,e,207,12,FALSE
Gloucester Road (rde),South Kensington (rde),105,740,"r,d",t,86.3,207.3,e,e,86,13,FALSE
Earls Court (de),Gloucester Road (rde),105,930,"r,d",t,64.1,86.3,e,e,64,15,FALSE
Paddington (BRD) (rde),Edgware Road (RDH) (rde2),120,820,"r,d",t,174.3,72.1,e,e,174,13,FALSE
Bayswater (rde),Paddington (BRD) (rde),120,980,"r,d",t,18.1,174.3,e,e,18,6,TRUE
Notting Hill Gate (rde),Bayswater (rde),105,790,"r,d",t,168.3,18.1,e,e,168,12,FALSE
High Street Kensington (rde),Notting Hill Gate (rde),105,930,"r,d",t,109.1,168.3,e,e,109,7,FALSE
Earls Court (de),High Street Kensington (rde),165,1230,d,t,64.1,109.1,e,e,64,15,FALSE
West Brompton (de),Earls Court (de),120,600,d,t,254.1,64.1,e,e,254,6,TRUE
Fulham Broadway (de),West Brompton (de),120,840,d,t,84.1,254.1,e,e,84,6,TRUE
Parsons Green (de),Fulham Broadway (de),60,790,d,t,177.1,84.1,e,e,177,6,TRUE
Putney Bridge (de),Parsons Green (de),120,950,d,t,184.1,177.1,e,e,184,6,TRUE
East Putney (de),Putney Bridge (de),150,1110,d,t,68.1,184.1,e,e,68,6,TRUE
Southfields (de),East Putney (de),150,1530,d,t,212.1,68.1,e,e,212,6,TRUE
Wimbledon Park (de),Southfields (de),150,1450,d,t,268.1,212.1,e,e,268,6,TRUE
Wimbledon (de),Wimbledon Park (de),150,1500,d,t,267.1,268.1,e,e,267,4,FALSE
Kensington (Olympia) (de),Earls Court (de),195,1540,d,t,124.1,64.1,e,e,124,5,FALSE
West Kensington (de),Earls Court (de),135,900,d,t,259.1,64.1,e,e,259,6,TRUE
Barons Court (de),West Kensington (de),90,640,d,t,16.1,259.1,e,e,16,12,FALSE
Hammersmith (DP) (de),Barons Court (de),75,680,d,t,96.1,16.1,e,e,96,12,FALSE
Ravenscourt Park (de),Hammersmith (DP) (de),135,930,d,t,188.1,96.1,e,e,188,6,TRUE
Stamford Brook (de),Ravenscourt Park (de),105,770,d,t,218.1,188.1,e,e,218,6,TRUE
Turnham Green (de),Stamford Brook (de),75,550,d,t,236.1,218.1,e,e,236,7,FALSE
Gunnersbury (de),Turnham Green (de),180,1590,d,t,94.1,236.1,e,e,94,6,TRUE
Kew Gardens (de),Gunnersbury (de),180,1710,d,t,127.1,94.1,e,e,127,6,TRUE
Richmond (de),Kew Gardens (de),210,2140,d,t,192.1,127.1,e,e,192,3,FALSE
Chiswick Park (de),Turnham Green (de),120,950,d,t,48.1,236.1,e,e,48,6,TRUE
Acton Town (de),Chiswick Park (de),120,1210,d,t,1.1,48.1,e,e,1,13,FALSE
Ealing Common (de),Acton Town (de),150,1030,d,t,63.1,1.1,e,e,63,12,FALSE
Ealing Broadway (de),Ealing Common (de),195,1500,d,t,62.3,63.1,e,e,62,6,FALSE
Upminster (dw),Upminster Bridge (dw),120,1240,d,t,238.2,239.2,w,w,238,3,FALSE
Upminster Bridge (dw),Hornchurch (dw),120,1260,d,t,239.2,116.2,w,w,239,6,TRUE
Hornchurch (dw),Elm Park (dw),120,1500,d,t,116.2,74.2,w,w,116,6,TRUE
Elm Park (dw),Dagenham East (dw),180,2370,d,t,74.2,58.2,w,w,74,6,TRUE
Dagenham East (dw),Dagenham Heathway (dw),120,1350,d,t,58.2,59.2,w,w,58,6,TRUE
Dagenham Heathway (dw),Becontree (dw),150,1370,d,t,59.2,19.2,w,w,59,6,TRUE
Becontree (dw),Upney (dw),150,1870,d,t,19.2,240.2,w,w,19,6,TRUE
Upney (dw),Barking (dhw),150,1380,d,t,240.2,14.2,w,w,240,6,TRUE
Barking (dhw),East Ham (dhw),210,2290,"d,h",t,14.2,67.2,w,w,14,6,FALSE
East Ham (dhw),Upton Park (dhw),120,1400,"d,h",t,67.2,241.2,w,w,67,6,TRUE
Upton Park (dhw),Plaistow (dhw),120,1290,"d,h",t,241.2,182.2,w,w,241,6,TRUE
Plaistow (dhw),West Ham (dhw),120,760,"d,h",t,182.2,256.2,w,w,182,6,TRUE
West Ham (dhw),Bromley-by-Bow (dhw),120,1370,"d,h",t,256.2,32.2,w,w,256,12,FALSE
Bromley-by-Bow (dhw),Bow Road (dhw),150,1010,"d,h",t,32.2,29.2,w,w,32,6,TRUE
Bow Road (dhw),Mile End (dhw),90,550,"d,h",t,29.2,148.4,w,w,29,6,TRUE
Mile End (dhw),Stepney Green (dhw),120,1050,"d,h",t,148.4,220.2,w,w,148,12,FALSE
Stepney Green (dhw),Whitechapel (dhw),120,1000,"d,h",t,220.2,264.2,w,w,220,6,TRUE
Whitechapel (dhw),Aldgate East (dhw),135,820,"d,h",t,264.2,3.2,w,w,264,6,TRUE
Aldgate East (dhw),Tower Hill (rdw),120,800,d,t,3.2,234.2,w,w,3,8,FALSE
Tower Hill (rdw),Monument (rdw),105,680,"r,d",t,234.2,150.2,w,w,234,7,FALSE
Monument (rdw),Cannon Street (rdw),75,340,"r,d",t,150.2,40.2,w,w,150,7,FALSE
Cannon Street (rdw),Mansion House (rdw),75,310,"r,d",t,40.2,145.2,w,w,40,6,TRUE
Mansion House (rdw),Blackfriars (rdw),105,610,"r,d",t,145.2,23.2,w,w,145,6,TRUE
Blackfriars (rdw),Temple (rdw),90,760,"r,d",t,23.2,227.2,w,w,23,6,TRUE
Temple (rdw),Embankment (rdw),105,710,"r,d",t,227.2,75.6,w,w,227,6,TRUE
Embankment (rdw),Westminster (rdw),90,690,"r,d",t,75.6,262.4,w,w,75,18,FALSE
Westminster (rdw),St Jamess Park (rdw),105,760,"r,d",t,262.4,215.2,w,w,262,12,FALSE
St Jamess Park (rdw),Victoria (rdw),60,720,"r,d",t,215.2,244.2,w,w,215,6,TRUE
Victoria (rdw),Sloane Square (rdw),120,1050,"r,d",t,244.2,203.2,w,w,244,12,FALSE
Sloane Square (rdw),South Kensington (rdw),120,1220,"r,d",t,203.2,207.4,w,w,203,6,TRUE
South Kensington (rdw),Gloucester Road (rdw),105,740,"r,d",t,207.4,86.4,w,w,207,12,FALSE
Gloucester Road (rdw),Earls Court (dw),120,930,"r,d",t,86.4,64.2,w,w,86,13,FALSE
Edgware Road (RDH) (rdw2),Paddington (BRD) (rdw),135,820,"r,d",t,72.2,174.4,2,w,72,9,FALSE
Paddington (BRD) (rdw),Bayswater (rdw),120,980,"r,d",t,174.4,18.2,w,w,174,13,FALSE
Bayswater (rdw),Notting Hill Gate (rdw),105,790,"r,d",t,18.2,168.4,w,w,18,6,TRUE
Notting Hill Gate (rdw),High Street Kensington (rdw),120,930,"r,d",t,168.4,109.2,w,w,168,12,FALSE
High Street Kensington (rdw),Earls Court (dw),195,1230,d,t,109.2,64.2,w,w,109,7,FALSE
Earls Court (dw),West Brompton (dw),90,600,d,t,64.2,254.2,w,w,64,15,FALSE
West Brompton (dw),Fulham Broadway (dw),135,840,d,t,254.2,84.2,w,w,254,6,TRUE
Fulham Broadway (dw),Parsons Green (dw),90,790,d,t,84.2,177.2,w,w,84,6,TRUE
Parsons Green (dw),Putney Bridge (dw),120,950,d,t,177.2,184.2,w,w,177,6,TRUE
Putney Bridge (dw),East Putney (dw),120,1110,d,t,184.2,68.2,w,w,184,6,TRUE
East Putney (dw),Southfields (dw),150,1530,d,t,68.2,212.2,w,w,68,6,TRUE
Southfields (dw),Wimbledon Park (dw),150,1450,d,t,212.2,268.2,w,w,212,6,TRUE
Wimbledon Park (dw),Wimbledon (dw),210,1500,d,t,268.2,267.2,w,w,268,6,TRUE
Earls Court (dw),Kensington (Olympia) (dw),180,1540,d,t,64.2,124.2,w,w,64,15,FALSE
Earls Court (dw),West Kensington (dw),120,900,d,t,64.2,259.2,w,w,64,15,FALSE
West Kensington (dw),Barons Court (dw),105,640,d,t,259.2,16.2,w,w,259,6,TRUE
Barons Court (dw),Hammersmith (DP) (dw),105,680,d,t,16.2,96.2,w,w,16,12,FALSE
Hammersmith (DP) (dw),Ravenscourt Park (dw),120,930,d,t,96.2,188.2,w,w,96,12,FALSE
Ravenscourt Park (dw),Stamford Brook (dw),90,770,d,t,188.2,218.2,w,w,188,6,TRUE
Stamford Brook (dw),Turnham Green (dw),90,550,d,t,218.2,236.2,w,w,218,6,TRUE
Turnham Green (dw),Gunnersbury (dw),210,1590,d,t,236.2,94.2,w,w,236,7,FALSE
Gunnersbury (dw),Kew Gardens (dw),150,1710,d,t,94.2,127.2,w,w,94,6,TRUE
Kew Gardens (dw),Richmond (dw),240,2140,d,t,127.2,192.2,w,w,127,6,TRUE
Turnham Green (dw),Chiswick Park (dw),105,950,d,t,236.2,48.2,w,w,236,7,FALSE
Chiswick Park (dw),Acton Town (dw),150,1210,d,t,48.2,1.2,w,w,48,6,TRUE
Acton Town (dw),Ealing Common (dw),135,1030,d,t,1.2,63.2,w,w,1,13,FALSE
Ealing Common (dw),Ealing Broadway (dw),210,1500,d,t,63.2,62.4,w,w,63,12,FALSE
Acton Town,Acton Town (de),180,250,d,s,1,1.1,,e,1,13,FALSE
Acton Town,Acton Town (dw),180,250,d,s,1,1.2,,w,1,13,FALSE
Acton Town,Acton Town (pe),180,250,p,s,1,1.3,,e,1,13,FALSE
Acton Town,Acton Town (pw),180,250,p,s,1,1.4,,w,1,13,FALSE
Acton Town (de),Acton Town,180,250,d,s,1.1,1,e,,1,13,FALSE
Acton Town (dw),Acton Town,180,250,d,s,1.2,1,w,,1,13,FALSE
Acton Town (pe),Acton Town,180,250,p,s,1.3,1,e,,1,13,FALSE
Acton Town (pw),Acton Town,180,250,p,s,1.4,1,w,,1,13,FALSE
Aldgate,Aldgate (rme),180,250,"r,m",s,2,2.1,,e,2,7,FALSE
Aldgate,Aldgate (rmw),180,250,"r,m",s,2,2.2,,w,2,7,FALSE
Aldgate (rme),Aldgate,180,250,"r,m",s,2.1,2,e,,2,7,FALSE
Aldgate (rmw),Aldgate,180,250,"r,m",s,2.2,2,w,,2,7,FALSE
Aldgate East,Aldgate East (dhe),180,250,"d,h",s,3,3.1,,e,3,8,FALSE
Aldgate East,Aldgate East (dhw),180,250,"d,h",s,3,3.2,,w,3,8,FALSE
Aldgate East (dhe),Aldgate East,180,250,"d,h",s,3.1,3,e,,3,8,FALSE
Aldgate East (dhw),Aldgate East,180,250,"d,h",s,3.2,3,w,,3,8,FALSE
Alperton,Alperton (pe),180,250,p,s,4,4.1,,e,4,6,TRUE
Alperton,Alperton (pw),180,250,p,s,4,4.2,,w,4,6,TRUE
Alperton (pe),Alperton,180,250,p,s,4.1,4,e,,4,6,TRUE
Alperton (pw),Alperton,180,250,p,s,4.2,4,w,,4,6,TRUE
Amersham,Amersham (ms),180,250,m,s,5,5.2,,s,5,3,FALSE
Amersham (mn),Amersham,180,250,m,s,5.1,5,n,,5,3,FALSE
Angel,Angel (nn),180,250,n,s,6,6.1,,n,6,6,TRUE
Angel,Angel (ns),180,250,n,s,6,6.2,,s,6,6,TRUE
Angel (nn),Angel,180,250,n,s,6.1,6,n,,6,6,TRUE
Angel (ns),Angel,180,250,n,s,6.2,6,s,,6,6,TRUE
Archway,Archway (nn),180,250,n,s,7,7.1,,n,7,6,TRUE
Archway,Archway (ns),180,250,n,s,7,7.2,,s,7,6,TRUE
Archway (nn),Archway,180,250,n,s,7.1,7,n,,7,6,TRUE
Archway (ns),Archway,180,250,n,s,7.2,7,s,,7,6,TRUE
Arnos Grove,Arnos Grove (pe),180,250,p,s,8,8.1,,e,8,6,TRUE
Arnos Grove,Arnos Grove (pw),180,250,p,s,8,8.2,,w,8,6,TRUE
Arnos Grove (pe),Arnos Grove,180,250,p,s,8.1,8,e,,8,6,TRUE
Arnos Grove (pw),Arnos Grove,180,250,p,s,8.2,8,w,,8,6,TRUE
Arsenal,Arsenal (pe),180,250,p,s,9,9.1,,e,9,6,TRUE
Arsenal,Arsenal (pw),180,250,p,s,9,9.2,,w,9,6,TRUE
Arsenal (pe),Arsenal,180,250,p,s,9.1,9,e,,9,6,TRUE
Arsenal (pw),Arsenal,180,250,p,s,9.2,9,w,,9,6,TRUE
Baker Street,Baker Street (bn),180,250,b,s,10,10.1,,n,10,24,FALSE
Baker Street,Baker Street (bs),180,250,b,s,10,10.2,,s,10,24,FALSE
Baker Street,Baker Street (je),180,250,j,s,10,10.3,,e,10,24,FALSE
Baker Street,Baker Street (jw),180,250,j,s,10,10.4,,w,10,24,FALSE
Baker Street,Baker Street (mn),180,250,m,s,10,10.5,,n,10,24,FALSE
Baker Street,Baker Street (ms),180,250,m,s,10,10.6,,s,10,24,FALSE
Baker Street,Baker Street (rhe),180,250,"r,h",s,10,10.7,,e,10,24,FALSE
Baker Street,Baker Street (rhw),180,250,"r,h",s,10,10.8,,w,10,24,FALSE
Baker Street (bn),Baker Street,180,250,b,s,10.1,10,n,,10,24,FALSE
Baker Street (bs),Baker Street,180,250,b,s,10.2,10,s,,10,24,FALSE
Baker Street (je),Baker Street,180,250,j,s,10.3,10,e,,10,24,FALSE
Baker Street (jw),Baker Street,180,250,j,s,10.4,10,w,,10,24,FALSE
Baker Street (mn),Baker Street,180,250,m,s,10.5,10,n,,10,24,FALSE
Baker Street (ms),Baker Street,180,250,m,s,10.6,10,s,,10,24,FALSE
Baker Street (rhe),Baker Street,180,250,"r,h",s,10.7,10,e,,10,24,FALSE
Baker Street (rhw),Baker Street,180,250,"r,h",s,10.8,10,w,,10,24,FALSE
Balham,Balham (nn),180,250,n,s,11,11.1,,n,11,6,TRUE
Balham,Balham (ns),180,250,n,s,11,11.2,,s,11,6,TRUE
Balham (nn),Balham,180,250,n,s,11.1,11,n,,11,6,TRUE
Balham (ns),Balham,180,250,n,s,11.2,11,s,,11,6,TRUE
Bank,Bank (ce),180,250,c,s,12,12.1,,e,12,16,FALSE
Bank,Bank (cw),180,250,c,s,12,12.2,,w,12,16,FALSE
Bank,Bank (nn),180,250,n,s,12,12.3,,n,12,16,FALSE
Bank,Bank (ns),180,250,n,s,12,12.4,,s,12,16,FALSE
Bank,Bank (ws),180,250,v,s,12,12.6,,s,12,16,FALSE
Bank (ce),Bank,180,250,c,s,12.1,12,e,,12,16,FALSE
Bank (cw),Bank,180,250,c,s,12.2,12,w,,12,16,FALSE
Bank (nn),Bank,180,250,n,s,12.3,12,n,,12,16,FALSE
Bank (ns),Bank,180,250,n,s,12.4,12,s,,12,16,FALSE
Bank (wn),Bank,180,250,v,s,12.5,12,n,,12,16,FALSE
Barbican,Barbican (rhme),180,250,"r,h,m",s,13,13.1,,e,13,6,TRUE
Barbican,Barbican (rhmw),180,250,"r,h,m",s,13,13.2,,w,13,6,TRUE
Barbican (rhme),Barbican,180,250,"r,h,m",s,13.1,13,e,,13,6,TRUE
Barbican (rhmw),Barbican,180,250,"r,h,m",s,13.2,13,w,,13,6,TRUE
Barking,Barking (dhe),180,250,"d,h",s,14,14.1,,e,14,6,FALSE
Barking,Barking (dhw),180,250,"d,h",s,14,14.2,,w,14,6,FALSE
Barking (dhe),Barking,180,250,"d,h",s,14.1,14,e,,14,6,FALSE
Barking (dhw),Barking,180,250,"d,h",s,14.2,14,w,,14,6,FALSE
Barkingside,Barkingside (ce),180,250,c,s,15,15.1,,e,15,6,TRUE
Barkingside,Barkingside (cw),180,250,c,s,15,15.2,,w,15,6,TRUE
Barkingside (ce),Barkingside,180,250,c,s,15.1,15,e,,15,6,TRUE
Barkingside (cw),Barkingside,180,250,c,s,15.2,15,w,,15,6,TRUE
Barons Court,Barons Court (de),180,250,d,s,16,16.1,,e,16,12,FALSE
Barons Court,Barons Court (dw),180,250,d,s,16,16.2,,w,16,12,FALSE
Barons Court,Barons Court (pe),180,250,p,s,16,16.3,,e,16,12,FALSE
Barons Court,Barons Court (pw),180,250,p,s,16,16.4,,w,16,12,FALSE
Barons Court (de),Barons Court,180,250,d,s,16.1,16,e,,16,12,FALSE
Barons Court (dw),Barons Court,180,250,d,s,16.2,16,w,,16,12,FALSE
Barons Court (pe),Barons Court,180,250,p,s,16.3,16,e,,16,12,FALSE
Barons Court (pw),Barons Court,180,250,p,s,16.4,16,w,,16,12,FALSE
Bayswater,Bayswater (rde),180,250,"r,d",s,18,18.1,,e,18,6,TRUE
Bayswater,Bayswater (rdw),180,250,"r,d",s,18,18.2,,w,18,6,TRUE
Bayswater (rde),Bayswater,180,250,"r,d",s,18.1,18,e,,18,6,TRUE
Bayswater (rdw),Bayswater,180,250,"r,d",s,18.2,18,w,,18,6,TRUE
Becontree,Becontree (de),180,250,d,s,19,19.1,,e,19,6,TRUE
Becontree,Becontree (dw),180,250,d,s,19,19.2,,w,19,6,TRUE
Becontree (de),Becontree,180,250,d,s,19.1,19,e,,19,6,TRUE
Becontree (dw),Becontree,180,250,d,s,19.2,19,w,,19,6,TRUE
Belsize Park,Belsize Park (nn),180,250,n,s,20,20.1,,n,20,6,TRUE
Belsize Park,Belsize Park (ns),180,250,n,s,20,20.2,,s,20,6,TRUE
Belsize Park (nn),Belsize Park,180,250,n,s,20.1,20,n,,20,6,TRUE
Belsize Park (ns),Belsize Park,180,250,n,s,20.2,20,s,,20,6,TRUE
Bermondsey,Bermondsey (je),180,250,j,s,21,21.1,,e,21,6,TRUE
Bermondsey,Bermondsey (jw),180,250,j,s,21,21.2,,w,21,6,TRUE
Bermondsey (je),Bermondsey,180,250,j,s,21.1,21,e,,21,6,TRUE
Bermondsey (jw),Bermondsey,180,250,j,s,21.2,21,w,,21,6,TRUE
Bethnal Green,Bethnal Green (ce),180,250,c,s,22,22.1,,e,22,6,TRUE
Bethnal Green,Bethnal Green (cw),180,250,c,s,22,22.2,,w,22,6,TRUE
Bethnal Green (ce),Bethnal Green,180,250,c,s,22.1,22,e,,22,6,TRUE
Bethnal Green (cw),Bethnal Green,180,250,c,s,22.2,22,w,,22,6,TRUE
Blackfriars,Blackfriars (rde),180,250,"r,d",s,23,23.1,,e,23,6,TRUE
Blackfriars,Blackfriars (rdw),180,250,"r,d",s,23,23.2,,w,23,6,TRUE
Blackfriars (rde),Blackfriars,180,250,"r,d",s,23.1,23,e,,23,6,TRUE
Blackfriars (rdw),Blackfriars,180,250,"r,d",s,23.2,23,w,,23,6,TRUE
Blackhorse Road,Blackhorse Road (vn),180,250,v,s,24,24.1,,n,24,6,TRUE
Blackhorse Road,Blackhorse Road (vs),180,250,v,s,24,24.2,,s,24,6,TRUE
Blackhorse Road (vn),Blackhorse Road,180,250,v,s,24.1,24,n,,24,6,TRUE
Blackhorse Road (vs),Blackhorse Road,180,250,v,s,24.2,24,s,,24,6,TRUE
Bond Street,Bond Street (ce),180,250,c,s,25,25.1,,e,25,12,FALSE
Bond Street,Bond Street (cw),180,250,c,s,25,25.2,,w,25,12,FALSE
Bond Street,Bond Street (je),180,250,j,s,25,25.3,,e,25,12,FALSE
Bond Street,Bond Street (jw),180,250,j,s,25,25.4,,w,25,12,FALSE
Bond Street (ce),Bond Street,180,250,c,s,25.1,25,e,,25,12,FALSE
Bond Street (cw),Bond Street,180,250,c,s,25.2,25,w,,25,12,FALSE
Bond Street (je),Bond Street,180,250,j,s,25.3,25,e,,25,12,FALSE
Bond Street (jw),Bond Street,180,250,j,s,25.4,25,w,,25,12,FALSE
Borough,Borough (nn),180,250,n,s,26,26.1,,n,26,6,TRUE
Borough,Borough (ns),180,250,n,s,26,26.2,,s,26,6,TRUE
Borough (nn),Borough,180,250,n,s,26.1,26,n,,26,6,TRUE
Borough (ns),Borough,180,250,n,s,26.2,26,s,,26,6,TRUE
Boston Manor,Boston Manor (pe),180,250,p,s,27,27.1,,e,27,6,TRUE
Boston Manor,Boston Manor (pw),180,250,p,s,27,27.2,,w,27,6,TRUE
Boston Manor (pe),Boston Manor,180,250,p,s,27.1,27,e,,27,6,TRUE
Boston Manor (pw),Boston Manor,180,250,p,s,27.2,27,w,,27,6,TRUE
Bounds Green,Bounds Green (pe),180,250,p,s,28,28.1,,e,28,6,TRUE
Bounds Green,Bounds Green (pw),180,250,p,s,28,28.2,,w,28,6,TRUE
Bounds Green (pe),Bounds Green,180,250,p,s,28.1,28,e,,28,6,TRUE
Bounds Green (pw),Bounds Green,180,250,p,s,28.2,28,w,,28,6,TRUE
Bow Road,Bow Road (dhe),180,250,"d,h",s,29,29.1,,e,29,6,TRUE
Bow Road,Bow Road (dhw),180,250,"d,h",s,29,29.2,,w,29,6,TRUE
Bow Road (dhe),Bow Road,180,250,"d,h",s,29.1,29,e,,29,6,TRUE
Bow Road (dhw),Bow Road,180,250,"d,h",s,29.2,29,w,,29,6,TRUE
Brent Cross,Brent Cross (nn),180,250,n,s,30,30.1,,n,30,6,TRUE
Brent Cross,Brent Cross (ns),180,250,n,s,30,30.2,,s,30,6,TRUE
Brent Cross (nn),Brent Cross,180,250,n,s,30.1,30,n,,30,6,TRUE
Brent Cross (ns),Brent Cross,180,250,n,s,30.2,30,s,,30,6,TRUE
Brixton,Brixton (vn),180,250,v,s,31,31.1,,n,31,3,FALSE
Brixton (vs),Brixton,180,250,v,s,31.2,31,s,,31,3,FALSE
Bromley-by-Bow,Bromley-by-Bow (dhe),180,250,"d,h",s,32,32.1,,e,32,6,TRUE
Bromley-by-Bow,Bromley-by-Bow (dhw),180,250,"d,h",s,32,32.2,,w,32,6,TRUE
Bromley-by-Bow (dhe),Bromley-by-Bow,180,250,"d,h",s,32.1,32,e,,32,6,TRUE
Bromley-by-Bow (dhw),Bromley-by-Bow,180,250,"d,h",s,32.2,32,w,,32,6,TRUE
Buckhurst Hill,Buckhurst Hill (ce),180,250,c,s,33,33.1,,e,33,6,TRUE
Buckhurst Hill,Buckhurst Hill (cw),180,250,c,s,33,33.2,,w,33,6,TRUE
Buckhurst Hill (ce),Buckhurst Hill,180,250,c,s,33.1,33,e,,33,6,TRUE
Buckhurst Hill (cw),Buckhurst Hill,180,250,c,s,33.2,33,w,,33,6,TRUE
Burnt Oak,Burnt Oak (nn),180,250,n,s,34,34.1,,n,34,6,TRUE
Burnt Oak,Burnt Oak (ns),180,250,n,s,34,34.2,,s,34,6,TRUE
Burnt Oak (nn),Burnt Oak,180,250,n,s,34.1,34,n,,34,6,TRUE
Burnt Oak (ns),Burnt Oak,180,250,n,s,34.2,34,s,,34,6,TRUE
Caledonian Road,Caledonian Road (pe),180,250,p,s,35,35.1,,e,35,6,TRUE
Caledonian Road,Caledonian Road (pw),180,250,p,s,35,35.2,,w,35,6,TRUE
Caledonian Road (pe),Caledonian Road,180,250,p,s,35.1,35,e,,35,6,TRUE
Caledonian Road (pw),Caledonian Road,180,250,p,s,35.2,35,w,,35,6,TRUE
Camden Town,Camden Town (nn),180,250,n,s,36,36.1,,n,36,8,FALSE
Camden Town,Camden Town (ns),180,250,n,s,36,36.2,,s,36,8,FALSE
Camden Town (nn),Camden Town,180,250,n,s,36.1,36,n,,36,8,FALSE
Camden Town (ns),Camden Town,180,250,n,s,36.2,36,s,,36,8,FALSE
Canada Water,Canada Water (je),180,250,j,s,37,37.1,,e,37,6,TRUE
Canada Water,Canada Water (jw),180,250,j,s,37,37.2,,w,37,6,TRUE
Canada Water (je),Canada Water,180,250,j,s,37.1,37,e,,37,6,TRUE
Canada Water (jw),Canada Water,180,250,j,s,37.2,37,w,,37,6,TRUE
Canary Wharf,Canary Wharf (je),180,250,j,s,38,38.1,,e,38,6,TRUE
Canary Wharf,Canary Wharf (jw),180,250,j,s,38,38.2,,w,38,6,TRUE
Canary Wharf (je),Canary Wharf,180,250,j,s,38.1,38,e,,38,6,TRUE
Canary Wharf (jw),Canary Wharf,180,250,j,s,38.2,38,w,,38,6,TRUE
Canning Town,Canning Town (je),180,250,j,s,39,39.1,,e,39,6,TRUE
Canning Town,Canning Town (jw),180,250,j,s,39,39.2,,w,39,6,TRUE
Canning Town (je),Canning Town,180,250,j,s,39.1,39,e,,39,6,TRUE
Canning Town (jw),Canning Town,180,250,j,s,39.2,39,w,,39,6,TRUE
Cannon Street,Cannon Street (rde),180,250,"r,d",s,40,40.1,,e,40,6,TRUE
Cannon Street,Cannon Street (rdw),180,250,"r,d",s,40,40.2,,w,40,6,TRUE
Cannon Street (rde),Cannon Street,180,250,"r,d",s,40.1,40,e,,40,6,TRUE
Cannon Street (rdw),Cannon Street,180,250,"r,d",s,40.2,40,w,,40,6,TRUE
Canons Park,Canons Park (je),180,250,j,s,41,41.1,,e,41,7,FALSE
Canons Park,Canons Park (jw),180,250,j,s,41,41.2,,w,41,7,FALSE
Canons Park (je),Canons Park,180,250,j,s,41.1,41,e,,41,7,FALSE
Canons Park (jw),Canons Park,180,250,j,s,41.2,41,w,,41,7,FALSE
Chalfont & Latimer,Chalfont & Latimer (mn),180,250,m,s,42,42.1,,n,42,7,FALSE
Chalfont & Latimer,Chalfont & Latimer (ms),180,250,m,s,42,42.2,,s,42,7,FALSE
Chalfont & Latimer (mn),Chalfont & Latimer,180,250,m,s,42.1,42,n,,42,7,FALSE
Chalfont & Latimer (ms),Chalfont & Latimer,180,250,m,s,42.2,42,s,,42,7,FALSE
Chalk Farm,Chalk Farm (nn),180,250,n,s,43,43.1,,n,43,6,TRUE
Chalk Farm,Chalk Farm (ns),180,250,n,s,43,43.2,,s,43,6,TRUE
Chalk Farm (nn),Chalk Farm,180,250,n,s,43.1,43,n,,43,6,TRUE
Chalk Farm (ns),Chalk Farm,180,250,n,s,43.2,43,s,,43,6,TRUE
Chancery Lane,Chancery Lane (ce),180,250,c,s,44,44.1,,e,44,6,TRUE
Chancery Lane,Chancery Lane (cw),180,250,c,s,44,44.2,,w,44,6,TRUE
Chancery Lane (ce),Chancery Lane,180,250,c,s,44.1,44,e,,44,6,TRUE
Chancery Lane (cw),Chancery Lane,180,250,c,s,44.2,44,w,,44,6,TRUE
Charing Cross,Charing Cross (bn),180,250,b,s,45,45.1,,n,45,12,FALSE
Charing Cross,Charing Cross (bs),180,250,b,s,45,45.2,,s,45,12,FALSE
Charing Cross,Charing Cross (nn),180,250,n,s,45,45.3,,n,45,12,FALSE
Charing Cross,Charing Cross (ns),180,250,n,s,45,45.4,,s,45,12,FALSE
Charing Cross (bn),Charing Cross,180,250,b,s,45.1,45,n,,45,12,FALSE
Charing Cross (bs),Charing Cross,180,250,b,s,45.2,45,s,,45,12,FALSE
Charing Cross (nn),Charing Cross,180,250,n,s,45.3,45,n,,45,12,FALSE
Charing Cross (ns),Charing Cross,180,250,n,s,45.4,45,s,,45,12,FALSE
Chesham,Chesham (ms),180,250,c,s,46,46.2,,s,46,3,FALSE
Chesham (mn),Chesham,180,250,c,s,46.1,46,n,,46,3,FALSE
Chigwell,Chigwell (ce),180,250,c,s,47,47.1,,e,47,6,TRUE
Chigwell,Chigwell (cw),180,250,c,s,47,47.2,,w,47,6,TRUE
Chigwell (ce),Chigwell,180,250,c,s,47.1,47,e,,47,6,TRUE
Chigwell (cw),Chigwell,180,250,c,s,47.2,47,w,,47,6,TRUE
Chiswick Park,Chiswick Park (de),180,250,d,s,48,48.1,,e,48,6,TRUE
Chiswick Park,Chiswick Park (dw),180,250,d,s,48,48.2,,w,48,6,TRUE
Chiswick Park (de),Chiswick Park,180,250,d,s,48.1,48,e,,48,6,TRUE
Chiswick Park (dw),Chiswick Park,180,250,d,s,48.2,48,w,,48,6,TRUE
Chorleywood,Chorleywood (mn),180,250,m,s,49,49.1,,n,49,6,TRUE
Chorleywood,Chorleywood (ms),180,250,m,s,49,49.2,,s,49,6,TRUE
Chorleywood (mn),Chorleywood,180,250,m,s,49.1,49,n,,49,6,TRUE
Chorleywood (ms),Chorleywood,180,250,m,s,49.2,49,s,,49,6,TRUE
Clapham Common,Clapham Common (nn),180,250,n,s,50,50.1,,n,50,6,TRUE
