station1,station2,time,dist,line,flag,id1,id2,direction1,direction2,id0,station1_count,2d
Gants Hill (ce),Newbury Park (ce),180,2370,c,t,85.1,156.1,e,e,85,6,TRUE
Redbridge (ce),Gants Hill (ce),120,1270,c,t,190.1,85.1,e,e,190,6,TRUE
Wanstead (ce),Redbridge (ce),120,1220,c,t,246.1,190.1,e,e,246,6,TRUE
Leytonstone (ce),Wanstead (ce),135,1720,c,t,139.1,246.1,e,e,139,7,FALSE
Leyton (ce),Leytonstone (ce),150,1630,c,t,138.1,139.1,e,e,138,6,TRUE
Stratford (ce),Leyton (ce),165,2090,c,t,223.1,138.1,e,e,223,9,FALSE
Mile End (ce),Stratford (ce),210,2830,c,t,148.1,223.1,e,e,148,12,FALSE
Bethnal Green (ce),Mile End (ce),135,1640,c,t,22.1,148.1,e,e,22,6,TRUE
Liverpool Street (ce),Bethnal Green (ce),180,2270,c,t,140.1,22.1,e,e,140,13,FALSE
Bank (ce),Liverpool Street (ce),135,740,c,t,12.1,140.1,e,e,12,16,FALSE
St Pauls (ce),Bank (ce),120,740,c,t,217.1,12.1,e,e,217,6,TRUE
Chancery Lane (ce),St Pauls (ce),105,1030,c,t,44.1,217.1,e,e,44,6,TRUE
Holborn (ce),Chancery Lane (ce),75,400,c,t,113.1,44.1,e,e,113,12,FALSE
Tottenham Court Road (ce),Holborn (ce),120,890,c,t,231.1,113.1,e,e,231,12,FALSE
Oxford Circus (ce),Tottenham Court Road (ce),75,580,c,t,173.3,231.1,e,e,173,18,FALSE
Bond Street (ce),Oxford Circus (ce),90,660,c,t,25.1,173.3,e,e,25,12,FALSE
Marble Arch (ce),Bond Street (ce),75,550,c,t,146.1,25.1,e,e,146,6,TRUE
Lancaster Gate (ce),Marble Arch (ce),150,1210,c,t,135.1,146.1,e,e,135,6,TRUE
Queensway (ce),Lancaster Gate (ce),90,900,c,t,187.1,135.1,e,e,187,6,TRUE
Notting Hill Gate (ce),Queensway (ce),90,690,c,t,168.1,187.1,e,e,168,12,FALSE
Holland Park (ce),Notting Hill Gate (ce),90,610,c,t,114.1,168.1,e,e,114,6,TRUE
Shepherds Bush (ce),Holland Park (ce),105,870,c,t,201.1,114.1,e,e,201,7,FALSE
White City (ce),Shepherds Bush (ce),165,1160,c,t,263.1,201.1,e,e,263,6,TRUE
East Acton (ce),White City (ce),180,2060,c,t,65.1,263.1,e,e,65,6,TRUE
North Acton (ce),East Acton (ce),105,1110,c,t,158.1,65.1,e,e,158,7,FALSE
West Acton (ce),North Acton (ce),180,1770,c,t,253.1,158.1,e,e,253,6,TRUE
Ealing Broadway (ce),West Acton (ce),135,1530,c,t,62.1,253.1,e,e,62,6,FALSE
Hanger Lane (ce),North Acton (ce),210,2490,c,t,99.1,158.1,e,e,99,8,FALSE
Perivale (ce),Hanger Lane (ce),150,2110,c,t,178.1,99.1,e,e,178,6,TRUE
Greenford (ce),Perivale (ce),120,1690,c,t,93.1,178.1,e,e,93,6,TRUE
Northolt (ce),Greenford (ce),135,1790,c,t,164.1,93.1,e,e,164,6,TRUE
South Ruislip (ce),Northolt (ce),165,2290,c,t,209.1,164.1,e,e,209,6,TRUE
Ruislip Gardens (ce),South Ruislip (ce),90,870,c,t,197.1,209.1,e,e,197,6,TRUE
West Ruislip (ce),Ruislip Gardens (ce),150,2040,c,t,260.1,197.1,e,e,260,4,FALSE
Stanmore (je),Canons Park (je),135,1270,j,t,219.1,41.1,e,e,219,3,FALSE
Canons Park (je),Queensbury (je),120,1710,j,t,41.1,186.1,e,e,41,7,FALSE
Queensbury (je),Kingsbury (je),120,1330,j,t,186.1,131.1,e,e,186,6,TRUE
Kingsbury (je),Wembley Park (je),225,2850,j,t,131.1,252.1,e,e,131,6,TRUE
Wembley Park (je),Neasden (je),150,2290,j,t,252.1,155.1,e,e,252,12,FALSE
Neasden (je),Dollis Hill (je),90,850,j,t,155.1,61.1,e,e,155,6,TRUE
Dollis Hill (je),Willesden Green (je),135,1210,j,t,61.1,265.1,e,e,61,6,TRUE
Willesden Green (je),Kilburn (je),105,1190,j,t,265.1,128.1,e,e,265,6,TRUE
Kilburn (je),West Hampstead (je),120,1090,j,t,128.1,257.1,e,e,128,6,TRUE
West Hampstead (je),Finchley Road (je),90,610,j,t,257.1,82.1,e,e,257,6,TRUE
Finchley Road (je),Swiss Cottage (je),75,610,j,t,82.1,226.1,e,e,82,12,FALSE
Swiss Cottage (je),St Johns Wood (je),90,920,j,t,226.1,216.1,e,e,226,6,TRUE
St Johns Wood (je),Baker Street (je),165,2060,j,t,216.1,10.3,e,e,216,6,TRUE
Baker Street (je),Bond Street (je),150,1660,j,t,10.3,25.3,e,e,10,24,FALSE
Bond Street (je),Green Park (je),105,1370,j,t,25.3,92.1,e,e,25,12,FALSE
Green Park (je),Westminster (je),120,1330,j,t,92.1,262.1,e,e,92,18,FALSE
Westminster (je),Waterloo (je),105,960,j,t,262.1,249.3,e,e,262,12,FALSE
Waterloo (je),Southwark (je),60,440,j,t,249.3,214.1,e,e,249,21,FALSE
Southwark (je),London Bridge (je),120,1250,j,t,214.1,141.1,e,e,214,6,TRUE
London Bridge (je),Bermondsey (je),135,1930,j,t,141.1,21.1,e,e,141,12,FALSE
Bermondsey (je),Canada Water (je),105,1060,j,t,21.1,37.1,e,e,21,6,TRUE
Canada Water (je),Canary Wharf (je),150,2410,j,t,37.1,38.1,e,e,37,6,TRUE
Canary Wharf (je),North Greenwich (je),135,1710,j,t,38.1,160.1,e,e,38,6,TRUE
North Greenwich (je),Canning Town (je),150,1710,j,t,160.1,39.1,e,e,160,6,TRUE
Canning Town (je),West Ham (je),135,1580,j,t,39.1,256.3,e,e,39,6,TRUE
West Ham (je),Stratford (je),195,1540,j,t,256.3,223.3,e,e,256,12,FALSE
Canons Park (jw),Stanmore (jw),120,1270,j,t,41.2,219.2,w,w,41,7,FALSE
Queensbury (jw),Canons Park (jw),135,1710,j,t,186.2,41.2,w,w,186,6,TRUE
Kingsbury (jw),Queensbury (jw),120,1330,j,t,131.2,186.2,w,w,131,6,TRUE
Wembley Park (jw),Kingsbury (jw),210,2850,j,t,252.2,131.2,w,w,252,12,FALSE
Neasden (jw),Wembley Park (jw),180,2290,j,t,155.2,252.2,w,w,155,6,TRUE
Dollis Hill (jw),Neasden (jw),90,850,j,t,61.2,155.2,w,w,61,6,TRUE
Willesden Green (jw),Dollis Hill (jw),105,1210,j,t,265.2,61.2,w,w,265,6,TRUE
Kilburn (jw),Willesden Green (jw),135,1190,j,t,128.2,265.2,w,w,128,6,TRUE
