id,INT?,station,longitude,latitude,zone,flag,map x,map y
87.2,FALSE,Golders Green (ns),,,,p,,
88,TRUE,Goldhawk Road,-0.2267,51.5018,2,s,3.7112,4.242
88.1,FALSE,Goldhawk Road (rhe),,,,p,,
88.2,FALSE,Goldhawk Road (rhw),,,,p,,
89,TRUE,Goodge Street,-0.1347,51.5205,1,s,5.5747,3.5993
89.1,FALSE,Goodge Street (nn),,,,p,,
89.2,FALSE,Goodge Street (ns),,,,p,,
90,TRUE,Grange Hill,0.0923,51.6132,4,s,8.808,1.6807
90.1,FALSE,Grange Hill (ce),,,,p,,
90.2,FALSE,Grange Hill (cw),,,,p,,
91,TRUE,Great Portland Street,-0.1439,51.5238,1,s,5.1568,3.2816
91.1,FALSE,Great Portland Street (rhme),,,,p,,
91.2,FALSE,Great Portland Street (rhmw),,,,p,,
92,TRUE,Green Park,-0.1428,51.5067,1,s,5.0158,4.0527
92.1,FALSE,Green Park (je),,,,p,,
92.2,FALSE,Green Park (jw),,,,p,,
92.3,FALSE,Green Park (pe),,,,p,,
92.4,FALSE,Green Park (pw),,,,p,,
92.5,FALSE,Green Park (vn),,,,p,,
92.6,FALSE,Green Park (vs),,,,p,,
93,TRUE,Greenford,-0.3456,51.5423,4,s,2.2338,3.048
93.1,FALSE,Greenford (ce),,,,p,,
93.2,FALSE,Greenford (cw),,,,p,,
94,TRUE,Gunnersbury,-0.2754,51.4915,3,s,2.896,4.7601
94.1,FALSE,Gunnersbury (de),,,,p,,
94.2,FALSE,Gunnersbury (dw),,,,p,,
95,TRUE,Hainault,0.0933,51.603,4,s,8.8663,1.8013
95.1,FALSE,Hainault (ce),,,,p,,
95.2,FALSE,Hainault (cw),,,,p,,
96,TRUE,Hammersmith (DP),-0.2251,51.4936,2,s,3.7028,4.4289
96.1,FALSE,Hammersmith (DP) (de),,,,p,,
96.2,FALSE,Hammersmith (DP) (dw),,,,p,,
96.3,FALSE,Hammersmith (DP) (pe),,,,p,,
96.4,FALSE,Hammersmith (DP) (pw),,,,p,,
97,TRUE,Hammersmith (RH),-0.2251,51.4936,2,s,3.7028,4.31
97.1,FALSE,Hammersmith (RH) (rhe),,,,p,,
97.2,FALSE,Hammersmith (RH) (rhw),,,,p,,
98,TRUE,Hampstead,-0.178,51.5568,"2,3",s,5.2716,2.3187
98.1,FALSE,Hampstead (nn),,,,p,,
98.2,FALSE,Hampstead (ns),,,,p,,
99,TRUE,Hanger Lane,-0.2933,51.5302,3,s,2.5987,3.4098
99.1,FALSE,Hanger Lane (ce),,,,p,,
99.2,FALSE,Hanger Lane (cw),,,,p,,
100,TRUE,Harlesden,-0.2575,51.5362,3,s,3.5923,2.6819
100.1,FALSE,Harlesden (bn),,,,p,,
100.2,FALSE,Harlesden (bs),,,,p,,
101,TRUE,Harrow & Wealdstone,-0.3351,51.5925,5,s,3.5817,1.8699
101.1,FALSE,Harrow & Wealdstone (bn),,,,p,,
101.2,FALSE,Harrow & Wealdstone (bs),,,,p,,
102,TRUE,Harrow-on-the-Hill,-0.3366,51.5793,5,s,3.19,2.1795
102.1,FALSE,Harrow-on-the-Hill (mn),,,,p,,
102.2,FALSE,Harrow-on-the-Hill (ms),,,,p,,
103,TRUE,Hatton Cross,-0.4227,51.4669,"5,6",s,1.916,5.007
103.1,FALSE,Hatton Cross (pe),,,,p,,
103.2,FALSE,Hatton Cross (pw),,,,p,,
104,TRUE,Heathrow Terminal 4,-0.4476,51.4598,6,s,1.8344,5.5074
104.1,FALSE,Heathrow Terminal 4 (pe),,,,p,,
