,complete_bonus,beta,eta,alpha,tau,num_visited_per_episode,steps_per_episode,last_station,mean_num_visited,median_steps
48,100,100,1,0.1,0.1,"[272, 272, 272, 272, 272, 272, 272, 272, 272, 272]","[7872, 10029, 5151, 6384, 6085, 5598, 6323, 17401, 6752, 9328]","['Amersham (mn)', 'Chesham (mn)', 'Upminster (de)', 'Upminster (de)', 'Upminster (de)', 'Bow Road (dhe)', 'Arsenal (pe)', 'Upminster (de)', 'Goodge Street (ns)', 'Upminster (de)']",272.0,6568.0
21,10,1,10,0.1,0.0001,"[272, 272, 272, 272, 272, 272, 272, 272, 272, 272]","[7049, 3594, 6442, 14894, 7051, 7874, 3692, 4017, 7906, 5705]","['Chesham (mn)', 'Walthamstow Central (vn)', 'Chesham (mn)', 'Watford (mn)', 'Bayswater (rde)', 'Epping (ce)', 'Highbury & Islington (vn)', 'Bayswater (rdw)', 'Seven Sisters (vs)', 'Chesham (mn)']",272.0,6745.5
34,10,100,100,0.1,0.1,"[272, 272, 272, 272, 272, 272, 272, 272, 272, 272]","[6959, 10584, 7649, 9735, 7827, 6595, 5428, 5198, 5601, 4494]","['Heathrow Terminal 4 (pw)', 'Heathrow Terminal 5 (pw)', 'Chesham (mn)', 'Amersham (mn)', 'Chesham (mn)', 'Battersea Power Station (ns)', 'Chiswick Park (de)', 'St Jamess Park (rdw)', 'Canning Town (je)', 'Covent Garden (pw)']",272.0,6777.0
19,10,1,1,0.1,0.0001,"[272, 272, 272, 272, 272, 272, 271, 272, 272, 271]","[6847, 6772, 8243, 4927, 3076, 8429, 19999, 4471, 4864, 19999]","['Chesham (mn)', 'Amersham (mn)', 'Chesham (mn)', 'Watford (mn)', 'Mill Hill East (nn)', 'Chesham (mn)', 'Canada Water (je)', 'Roding Valley (ce)', 'Chesham (mn)', 'Woodside Park (nn)']",271.8,6809.5
30,10,100,1,0.1,0.1,"[272, 271, 272, 272, 272, 272, 272, 271, 272, 272]","[6984, 19999, 7111, 5746, 5973, 6115, 9021, 19999, 9482, 6428]","['Amersham (mn)', 'Brent Cross (ns)', 'Mornington Crescent (nn)', 'Lambeth North (bs)', 'Blackhorse Road (vn)', 'Mill Hill East (nn)', 'Amersham (mn)', 'Baker Street (ms)', 'Brixton (vs)', 'Mill Hill East (nn)']",271.8,7047.5
39,100,1,10,0.1,0.0001,"[272, 272, 272, 272, 270, 270, 270, 272, 272, 272]","[6372, 5925, 7769, 4604, 19999, 19999, 19999, 8716, 5371, 3496]","['Amersham (mn)', 'Chesham (mn)', 'Amersham (mn)', 'Heathrow Terminal 4 (pw)', 'Victoria (vs)', 'Green Park (pe)', 'Canary Wharf (je)', 'Arsenal (pe)', 'Goodge Street (ns)', 'Leyton (cw)']",271.4,7070.5
10,1,10,100,0.1,0.1,"[272, 272, 272, 272, 272, 272, 272, 272, 272, 272]","[7604, 12271, 7060, 8158, 5035, 7101, 4880, 5251, 6347, 7675]","['Chesham (mn)', 'Amersham (mn)', 'Euston Square (rhmw)', 'Brixton (vs)', 'Bayswater (rde)', 'Stanmore (jw)', 'Stanmore (jw)', 'Amersham (mn)', 'Epping (ce)', 'Richmond (dw)']",272.0,7080.5
65,1000,10,100,0.1,0.0001,"[272, 272, 272, 267, 270, 272, 272, 272, 272, 272]","[4361, 10380, 5321, 19999, 19999, 9656, 6067, 5497, 6615, 7609]","['Chesham (mn)', 'Amersham (mn)', 'Heathrow Terminal 4 (pw)', 'Kings Cross St Pancras', 'Kings Cross St Pancras', 'Goodge Street (nn)', 'Southwark (jw)', 'Bayswater (rdw)', 'Richmond (dw)', 'Goodge Street (ns)']",271.3,7112.0
69,1000,100,10,0.1,0.0001,"[272, 272, 272, 271, 270, 272, 272, 272, 272, 272]","[5360, 12266, 6728, 19999, 19999, 7544, 6365, 6256, 14233, 5800]","['Amersham (mn)', 'Chesham (mn)', 'Cockfosters (pe)', 'Waterloo (wn)', 'Swiss Cottage (je)', 'Seven Sisters (vs)', 'Lambeth North (bs)', 'Sloane Square (rdw)', 'Battersea Power Station (ns)', 'Brixton (vs)']",271.7,7136.0
28,10,10,100,0.1,0.1,"[272, 272, 272, 272, 272, 272, 272, 272, 272, 272]","[7646, 14447, 8962, 7189, 5990, 7088, 5855, 7920, 6078, 6795]","['Chesham (mn)', 'Amersham (mn)', 'Goodge Street (ns)', 'Cockfosters (pe)', 'Mornington Crescent (nn)', 'Upminster (de)', 'Whitechapel (dhw)', 'Mill Hill East (nn)', 'High Barnet (nn)', 'Uxbridge (mpn)']",272.0,7138.5
50,100,100,10,0.1,0.1,"[272, 272, 272, 272, 272, 272, 272, 272, 272, 272]","[3425, 5498, 13417, 6543, 5270, 9583, 15471, 6024, 7868, 8374]","['Roding Valley (ce)', 'Chesham (mn)', 'Amersham (mn)', 'Harrow & Wealdstone (bn)', 'Arsenal (pe)', 'Amersham (mn)', 'Chesham (mn)', 'Upminster (de)', 'Southgate (pe)', 'Chesham (mn)']",272.0,7205.5
